Name,County,Chief,Phone,Fax
106 Fire District Association,Kay,Diane Testerman,580-362-2378,999-999-9999
Achille Volunteer Fire Department,Bryan,Ron Sloan,580-920-3792,999-999-9999
Acme Fire Company,Grady,Stanley Pittman,405-222-2339,999-999-9999
ACOG,Oklahoma,Tom McNally,0,999-999-9999
Ada Fire Department,Pontotoc,Marion Harris,580-436-8071,999-999-9999
Adair (Town of),Mayes,Craig Cooper,918-373-2907,999-999-9999
Adair County Fire Service,Adair,Calvin Clay,918-797-8323,999-999-9999
Adair Tri-Community Fire Department,Adair,Robert Unger,918-696-5609,999-999-9999
Adams Rural Fire Protection District,Texas,Bret Bowers,580-253-6515,999-999-9999
Addington Volunteer Fire Department,Jefferson,Jim Breitigan,580-439-2347,999-999-9999
Admin Account,Adair,Admin,000-000-0000,
Afton Fire Department,Ottawa,Bobby Shinn,918-397-5294,999-999-9999
Agra Fire Department,Lincoln,Gerald Pendergraff,918-375-2531,999-999-9999
Airport Road Fire Support Incorporated,Osage,Rodney Wilson,918-336-0071,999-999-9999
Albany Fire Department,Bryan,Daryl Dowd,580-847-2572,999-999-9999
Albion Fire Department Association,Pushmataha,Lula Dighton,918-563-4347,999-999-9999
Alden Fire Department Association,Caddo,Don Epperson,580-654-2081,999-999-9999
Alderson Volunteer Fire Department,Pittsburg,Clem Peppers,918-423-7057,999-999-9999
Alex Fire Department,Grady,Richard Hammons,405-785-2393,999-999-9999
Alfalfa Rural Fire Company,Caddo,Bob Branham,580-637-2316,999-999-9999
Aline Fire Department,Alfalfa,Max Anthony,580-463-2411,999-999-9999
Allen Fire Department,Pontotoc,Jason Ericson,580-559-9879,580-857-2461
Altus Fire Department,Jackson,J R Wheeler,580-481-2231,999-999-9999
Alva Fire Department,Woods,Kirk Trekell,580-327-2317,999-999-9999
Amber Volunteer Fire Department,Grady,Josh Dover,405-535-6129,999-999-9999
Ames Fire Department,Major,Kelly Bisel,580-541-4074,999-999-9999
Amorita-Byron Fire Department,Alfalfa,Bobby Rockenbaugh,580-474-2631,999-999-9999
Anadarko Fire Department,Caddo,Richard Bennett,405-247-3871,999-999-9999
Antelope Creek Rural Fire Company,Osage,John Jones,918-433-2332,999-999-9999
Antlers Fire Department,Pushmataha,Randy Janoe,580-298-0288,999-999-9999
Apache Volunteer Fire Department,Caddo,David Johnson,580-588-2413,999-999-9999
Arapaho Fire Department,Custer,Lynn Maloy,580-323-4376,999-999-9999
Arcadia Volunteer Fire Department,Oklahoma,Doris Hardiman,405-823-9437,999-999-9999
Ardmore Air Park Vol Fire Department,Carter,Dennis Byers,580-389-5454,999-999-9999
Ardmore Fire Department,Carter,JD Spohn,580-221-2550,999-999-9999
Arkoma Fire Department,Le Flore,Dan Upton,918-875-3031,999-999-9999
"Arlington Volunteer Fire Department, Incorporated",Lincoln,Jess Tolleson,405-567-0331,999-999-9999
Arnett Fire Department,Ellis,Jay Boyd,580-938-0551,580-885-7722
"Arrowhead Estates Voluntary Fire Department, Inc.",Pittsburg,Junior Crabtree,918-339-6317,999-999-9999
ASCOG,Stephens,Jim Holland,580-252-0595,999-999-9999
Ash Creek Community Fire Department,Latimer,Dwight Glenn,918-465-5417,999-999-9999
Asher Volunteer Fire Department,Pottawatomie,Jason Sexton,405-784-2242,999-999-9999
Ashland Fire Department,Pittsburg,LL Powell,918-867-2475,999-999-9999
Atoka Co Fire/Safety Association,Atoka,Donnie Allen,580-889-6640,999-999-9999
Atoka Fire Department,Atoka,Donnie Allen,580-889-3341,999-999-9999
Atoka Kiamichi Vo-Tech,Atoka,Jim Kellough,580-889-7321,999-999-9999
Atwood Volunteer Fire Department Inc.,Hughes,Jimmy Lively,580-272-3590,999-999-9999
Avant Fire Department,Osage,Dale Soule,918-263-1717,999-999-9999
Bailey Fire Company,Grady,Kenneth Archer,580-658-6072,999-999-9999
Baker Fire Protection Association,Texas,Allen Mendenhall,580-854-6580,999-999-9999
Balko Fire & Rescue,Beaver,Robert Marshall,580-361-2266,999-999-9999
"Bar-C Rural Fire Department, Inc.",Osage,Shane Stierwalt,918-688-5774,999-999-9999
Barnsdall Fire Department,Osage,BJ Dildine,918-847-2980,999-999-9999
Barnsdall Rural FF Association,Osage,Pete O'Dell,918-847-2463,999-999-9999
Bartlesville Fire Department,Washington,Bob Hasbrook,918-337-5300,999-999-9999
"Basin Volunteer Fire Department, Inc.",Pawnee,Chris Chailer,918-865-3488,918-865-3488
Battiest Volunteer Fire Department Association,McCurtain,Kenny Dial,580-236-1177,999-999-9999
Bearden Fire Department,Okfuskee,Mark Maples,918-623-9213,999-999-9999
Beaver County Civil Emergency Mgmt,Beaver,KD Shook,580-625-3498,999-999-9999
Beaver Fire Department,Beaver,James Pratt,580-625-3331,999-999-9999
Beckham County Fire Department,Beckham,Marvin Stewart,580-928-2457,999-999-9999
Bee/Butcher Pen Fire Department,Johnston,Lillie McQueen,580-371-1603,999-999-9999
Beggs Fire Department,Okmulgee,Rick Mitchell,918-381-3728,999-999-9999
Beggs Rural Fire Association,Okmulgee,Rick Mitchell,918-381-3728,999-999-9999
Bell Rural Fire Department Incorporated,Adair,Morris Jones,918-696-7469,999-999-9999
Bengal Fire Department Assn.,Le Flore,Kevin Vaden,918-753-2248,999-999-9999
Bennington Community Rural Volunteer Fire Departme,Bryan,James Owens,580-775-2164,999-999-9999
Bentley Volunteer Fire District,Atoka,Troy Gammon,580-889-2971,999-999-9999
Berlin Volunteer Fire Association,Roger Mills,Robert Perriman,580-497-7473,999-999-9999
Bernice Fire Department,Delaware,Patrick Beehler,918-256-7777,999-999-9999
Berryhill Fire Protection District,Tulsa,Michael Hall,918-446-1211,918-446-2675
Bessie (Town of) Fire Department,Washita,Keith Javorsky,580-515-4694,999-999-9999
Bethel Acres Fire Department,Pottawatomie,Paul Franetovich,405-275-6481,999-999-9999
Bethel Road Fire Department Assoc,Comanche,Bobby Klein,580-248-9084,999-999-9999
Bethel Vol Fire Dept Association,McCurtain,Charlie Patrick,580-241-7716,999-999-9999
Big 4 Rural Fire District Association,Kingfisher,Darryl Farrow,405-368-3473,999-999-9999
"Big Beaver Fire Department, Inc.",Osage,Kenneth Shieldnight,918-433-2270,999-999-9999
